text,nama paslon
Sampai memberikan Nilai kinerja seorang Menhan padahal keduanya turun ke medan perang / konflik saja belum pernah. Memang yang bicaranya manis dan sok paling akademis suka lupa diri bahwa partai pengusung kedua calon lain sebenarnya pendukung program kemhan di masa pemerintahan selama ini. .<br><br>Anies prasetyo lupa diri klau dia mantan mentri pendidikan hnya 1 tahun kemudian di pecat karena kerja gk becusðŸ˜‚<br><br>Untung prabowo orangnya bijaksana gk kayak 2 paslon yg lain kerjanya ngehasut doangðŸ˜‚,anies baswedan
Si Anis hanya janji manis dan pandai berkata manis. Semua org jg tau itu. Prabowo terbaik.,anies baswedan
omongan anis emang manis. tapi .......,anies baswedan
"Anis baswedan nampak hanya ingin menjatuhkan lawan dan nampak ambisius nya untuk duduk di istana negara,,, memimpin DKI yg sudah bagus d kelola jaman ahok saja gak becus gmn mau mimpin indonesia ,, gua akui scara akademis dan publick speaking anis memang sangat lah manis",anies baswedan
"saya mau tau sama pk anis! apakabar jkt pada saat menjabat menjadi Gub jkt, apa ada kerja nyata dan visi dan misi yang terlaksana!? <br>pk anis kebanyakan janji dan kata&quot; yang terlalu manis hingga lupa visi dan misi?",anies baswedan
Pak anis pinter bikin janji manis aja si,anies baswedan
Klu anis jd president pasti kita sehahtra dan kenyang dgn janji janji manis,anies baswedan
Namanya aja Anis janji2 dan omongannya yang manis manis,anies baswedan
Beli manggis<br>Dihari kamis<br>Bicara nya manis<br>Pakar nya anis,anies baswedan
"Janji janji manis bisa dilontatkan lidah tidak bertulang, segitu menggebu-gebu nya ingin di posisi orang no 1 di negara RI sampai sampai inti sarinya hanya untuk menjatuhkan dan ambisi menang sendiri pak Anis ðŸ˜…",anies baswedan
ais anis anis manis kali  mulut kau syg fakta tyentang mhu nga ada baiikðŸ˜‚,anies baswedan
"Ganjar makin bagus omongannya memperlihatkan kalau beliau sangat layak jadi capres. Semoga kedepan makin kaya dan resourceful.<br><br>Prabowo jelas dan konkrit, tahu apa yg dia bicarakan berdasarkan pengalaman, tapi public speaking skillnya kurang bagus.<br><br>Anies mengarang bebas, membuat janji2 manis tanpa memikirkan kenyataan di lapangan, kemungkinan keberhasilan implementasinya dan anggaran yang diperlukan.<br>Egosentris and out of touch.",anies baswedan
"anis cuma pintar ngomong aja wkwk, banyak yg kemakan omongan manis nya",anies baswedan
Pintar banget bang anis ngomong ya. Manisnya poolðŸ˜‚ðŸ¤£ðŸ¤£ðŸ¤£,anies baswedan
Anis anis mulutmu manis hatimu sinis,anies baswedan
anis berucap manis tpi blum tntu bukti nya manis  ðŸ™,anies baswedan
Andai saja pak Prabowo ber agumentasi mengajak Anies membuktikan kerja nyata nya masing masing selama 5 tahun ini Anis punya apa ya?<br>Oh iya Kelupaan punya patung bambu yg harganya puluhan miliar ehh di rubuhin lagi itu nguntungin atau ngerugiin sih ? ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ <br>+1 lagi nih pak Anies masih teringat soal janji manis bapak perumahan gratis di Jakarta dulu kan pak Ahok sudh bilng bank tidak akan memberi tanpa bunga dan dp bapak nya ngeyel ya sudh tidak ada bukti nyata kanðŸ˜‚ðŸ˜…,anies baswedan
Anis manis kata kata.pahit dalm dunia nyata.,anies baswedan
Nis anis janji mu manis cuman di bibir saja...,anies baswedan
Bakalan masuk 7 keajaiban Dunia klo anis bisa mendamaikan Israel &amp; Palestina sebagai Aktor Diplomasi dgn kt2 manisnya.. Hanya 2 - 3 menit seperti debat ktnya.. ehhh.. Anis..anis..ðŸ˜…,anies baswedan
Gaya pak anies keren sekali.. Persis gaya bicara nya saat ingin mencalonkan sebagai gubernur... Kata kata demi kata kata di susun rapih... Di susun dengan bagus sekali.. Di susun dengan hati hati... Nada bahasa dan suara sangat manis sekali.. Manis sekali... Cuma maaf pak anis saya belum tertarik dengan anda... Anda memang pintar pak anis... Anda memang mahir dalam bicara hanya mohon maaf anda terlalu kebahyakan teory... Tp saya salut dengan anda apabila anda menjadi pengarang cerita... Atau anda jd komentator...,anies baswedan
"KATA KATA PAK ANIES PALING MANIS TAPI SAYA RAGU DIA BISA MEWUDUTKAN PERKATAANYA, SAYA PILIH PRABOWO",anies baswedan
Anis anis mulut mu terlalu manipulasi soal keadilan.<br>Juatru pak jkw yg sdh membangun papua ..dan soal dimulai tdk ada koruptor .. itulah  keadilan dan tak semudah mulut manis anis . Betul kata prabowo,anies baswedan
"pak Anies kebanyakan janji manis,ujung&quot; nya pait ðŸ˜‚",anies baswedan
"Pak anis mulutnya kaya lakiÂ² buaya, manis bnget tp palsu",anies baswedan
"Anis bicaranya enteng banget kebanyakan janji manis, pasti tdk bisa menjalankan yg di janjikan, sudah kelihatan dari cara ngomongnya mana yg pencitraan mana yg tulus, selama ini saya masih netral, setelah lihat ini rasanya anis tereliminasi, membangun negeri itu tdk semudah membalik telapak tangan nis, enteng bgt ngomong sok yes..",anies baswedan
Anis mulutnya manis pintar omong kinerja 0 ðŸ˜…,anies baswedan
"Anis cuma pinter ngomong doang. Tapi ngurus jakarta ga bener, kebanyakan tutur kata manis tapi kosong kerja nya. Ganjar pun sama, jawa tengah jadi provinsi termiskin masih mau sama Ganjar? Paling bener prabowo yg udh mengabdi negara dari muda sampai sekarang",anies baswedan
"haha anis2 lu sok adil...dulu aj pasnyalon dubernur apa kau dil dalam berpolitik ,dengan pak ahok...haha omongan lu dari dulu g bisa di percaya...dah bosen cara berpolitikmu hanya omongan manismu senjata pamungkanya...hahaha...basi",anies baswedan
mulut anis.. manis,anies baswedan
"ANIS HANYA NGOMONG MANIS.PANDAI SILAT LIDAH.MASA KAMPANYE NOL DP MALA GAK TEREALISASI,WKTU KOVID TIDK SANGGUP TANGANANI, KOTA JAKARTA BANJIR TRUSS,",anies baswedan
hanya pasangan nomor 2 dan nomor 3 yang ideal dan di tunggu apakah omongan mereka bisa di pegang jika terpilih... kalo pasangan nomor 1 uda cukup jakarta merasakan janji manis anis jangan sampai seluruh indonesia ke makan janji manis anis... mau mimpin indonesia??? mimpin jakarta aja gk becus... ngurusin banjir aja gk ada perubahaan malah tambah buruk. terus sekarang mau ngurusin kemiskinan dan korupsi ohhh tidak yang ada yang miskin tambah miskin dan yang korup tambah korup di tangan anis,anies baswedan
"banyak yg dukung pak anis, tp liat kinerjanya gk sesuai dg kata2 manis cuma omdo, bingung antara pak prabowo / ganjar",anies baswedan
Kalau bicara / kata kata ya anis ðŸ˜… manis <br>Tetap prabowo subianto â¤,anies baswedan
"Anis, mulut manis otak minus",anies baswedan
"Pak Anis mulut nya terlalu manis,kurang penasaran,udh dua kali dan ini ketiga kali nya jadi calon presiden,ga bahaya tah",anies baswedan
"Anies memang nomer satu.. kalo ngomong, tapi kenyataanya rakyat sudah tau. Seperti tembikar bersalutkan sanga perak, demikianlah mulut manis pada orang yang menaruh hati jahat.",anies baswedan
DENGER RETORIKA KATA PAK ANIS MENDADAK DIABETES KARENA TERLALU MANIS TAPI SAYANG TAK SEMANIS ITU REALITANYA,anies baswedan
"Dari debat ini, aku yakin milih prabowo. karna pak anies dan pk ganjar kata2nya semua terlalu manis dan dibuat2 bagus. sangat dirangkai dengan hati2. kalo prabowo apa adanya, pemimpin gk butuh kata2 manis. tapi butuh bukti. aku juga pernah nonton dedy corbozier podcast dan dia prnah sama pak prabowo, dan kagum dg kerjanya yg selalu kerja siang dan malam. dan amanah di posisi mentri, pdahal umurnya sudah tidak muda lg. indonesia butuh pemimpin yg tegas, skrg  kasus rohingnya saja, gak berhenti2 masuk aceh. yg mana ini mengancam kesatuan NKRI. kalo pak prabowo yg mimpin dan punya latar belakang militer, tentunya bisa mengatasi ini. memang prabowo juga banyak kekurangan. lalu pak prabowo memiliki aset yg banyak dan sudah kalah berkali2 dan tetap mau nyalon, yg menandakan dia gak peduli uang nya habis.",anies baswedan
anis itu mulut nya manis gk slh klo kedua orng tuanya ngsh NM anis baswedan bg sy itu gk msk akal bcrnya lbh baik atur dulu rmh tgganya sblm mnjdi presiden ingt anis yg manis bibir nya manusia gk ada yg sempurna menang gk mng aku tetap mlih prabowo phm cmkan itu anis aku pribadi gk mrsa takut gk peduli dia seorang presiden tp dia tdk mngrti dngan rakyat .,anies baswedan
manissss skli jawaban bpk. anis.. manisss manisss bgt bikin kadar gula naik.ðŸ˜‚ðŸ˜…,anies baswedan
"Hahaha kata2 manis anis Kerennn, beliau mmng hebat dlm berbicara , Prabowo tdk bertele-tele tdk bnyk berbicara tapi pelaksanaan nya hebat&#39; ...dulu saya pendukung Ganjar tapi saya 100% akan ke Prabowo... kelihatan bahasa nya merakyat.",anies baswedan
"anis omongannya manis bgt bjirr,cowo itu yg hrs di bisa di pegang omongannya loh,jejak di gital itu gaakan ilang.",anies baswedan
Tapi terkadang fakta tak sesuai dengan teori. Pak anies 80T itu kemana. Pak Anies ini tidak bisa mencari solusi dengan situasi mendadak. Saya yakin pak prabowo yg intelektual pasti bisa menghadapi masalah yg mendesak diselesaikan. Intelektual bukan cmn pandai omong. Ingat politikus kuliah debat berkata manis. Pak prabowo seorang perwira dia dari keluarga intelektual.,anies baswedan
"Memang betul anis pinter ngmng dn cerdas kalo cara berbicara, tp mf itu hanya manis berbicara saja. Pak prabowo wlwpun keras tegas tp jiwa hati pak prabowo ikhlas untuk indonesia.  Pemimpin butuh tegas brani... Bkn pemimpin manis berbicara",anies baswedan
Ingat janji pak anis waktu mau jdi guburnu dki. Rumah komersial dp nol persen dan janji2 lain a byk yg di ingkariii. Dia pinter berbicara. Semoga kita warga indonesia tidak kemakan oleh janji manis dan omongan yg manis tpi sebenar a pahit,anies baswedan
Pak Anis Memulai Janji Janji Manis LagiðŸ˜‚ Masih Ada Yang Percaya?ðŸ¤­ðŸ¤­ Yang Percaya Mudahan Pada WarasðŸ˜‚ðŸ˜‚ðŸ˜‚,anies baswedan
Sepertinya pak anis manis berbicaranya. Bagus paparannya Tapi cuma teori nya Aja...hasilnya ya mengerikan ...lihat aja dki Jakarta...gimana ????,anies baswedan
"Dengerin yg dukung anies anis kebanyakan ngomng kerja gak nyta lihat lah jakarta hancur di jabat sama anies,apalagi menjadi presiden aduh kacau, masyarakat tertipu sama omongan manis nyah,nyesel dah kalau anis jadi presiden",anies baswedan
"Sakit hati itu timbul karna banyaknya makan janji manis ðŸ˜‚ Pak Anis mantap janjinya, tapi coba liat jejak digital saat debat calon Gubernur dulu ðŸ˜‚ Talk Only No Action ðŸ˜‚",anies baswedan
"Anis ngomong yess,kerja no,ngomong pintar tapi kenyataan di lpangan berda jauh dari kata kata manis,kita bisa liat rekam jejak rekam digital anis begitu buruk,janji janji semua munafik,mari kita selamatkn negeri ini dari kaum radikal dengan tidak memilih anis baswedan sebagai calon presinden kita",anies baswedan
anis mulutnya memang manis. awas aja ntar diabetes ðŸ¤­,anies baswedan
"p.anies ini mang mulutnya manis-ngomongpun manis tp kenyataanya tetep sama-DP 0%!  Apanya yg mo di rubah? apa mau jdkan seluruh wilayah indonesia  sbg lahan &quot;parkir air?  ato smua jln yg sdh di aspas mulus trus di lobang2i ,biar para montir/ bengkel2 kendaraan jg pabrik ban n onderdil bs makmur krn krj kras p.anies sukses membuat ban kendaraan jg velgnya bengkok krn terjebak di lobang2 itu? hebat toh? ðŸ¤£ðŸ¤£",anies baswedan
Pak Anis terlalu banyak omongan manis ðŸ˜‚,anies baswedan
Pak anis pinter berkata kata nya manis syekaliiiðŸ‘,anies baswedan
"Bebat diwarnai hal tendensius, lbh terlihat di pihak Anis...terbukti panuhi borok&quot; yg memuakan rakyat kalau Anis belum berubah sampai saat ini...bicara yg manis, namun penuh kebencian terhadap kepemimpinan sekarang...kasihan ya",anies baswedan
Anies seperti biasa mulut nya manis ...tapi kerja nya uhhhhh......DKI korban jangan sampai Indonesia selanjutnya,anies baswedan
NIS Anies kaya omong gak masuk akal... Di tanya cara menangani polusi dgn apbd jawab nya manis kyk es just... Anak.ku ISO jawab kyk ngono,anies baswedan
"Hidup Prabowo,,,,kata kata Anis sangat manis tapi pekerjaan nya sangat minim",anies baswedan
"Takut kena janji manis pak anis, omongannya manis bangetðŸ˜…",anies baswedan
"Anis lulusan sastra yg hanya pandai bicara,, lihat wilayah jota jakarta hancur gara&quot; omongan manis si anus ini, rumah DP 0% mana, normalisasi mana, volusi udara tambah parahðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚",anies baswedan
Pak anis2 mulutnya manis sekali semanis gula yg bisa bikin obesitas tubuhku ðŸ˜…ðŸ˜…ðŸ˜…....,anies baswedan
"anies kata kata kamu manis ,semanis coklat silver queen, semenjak gubenur hanya ALEXIS yang kamu kerjaiin , yang lain tidak tuntas",anies baswedan
"Anis tak ubahnya bakul kecap. Setiap kampanye selalu dan terlalu manis janjinya, praktiknya lain di bibir beda pula kebijakannya.",anies baswedan
Kalau soal gini anis pinter lah dia ahli kata&quot; di balutan kesantunan kalau kerjanya sangat ga menyakinkan cuma pinter ngomong doang bet kata&quot; dan janji manis bet,anies baswedan
Ingat kembali tahun 2017 jangan sampai kemakan omongan manisnya si Anis cukup jakarta saja jangan se-Indonesia.anis itu kalo jafi presiden nanti lupa janjinya.contoh rumah DP 0%,anies baswedan
Anis janji manis<br>Fakta najiss,anies baswedan
HIDUP PAK ANISðŸ’ªðŸ¼ðŸ’ªðŸ¼<br>SEMOGA PAK ANIS MEMBERIKAN HASIL YG &quot;MANIS&quot; JIKA MENJADI RI 1.â˜ðŸ¿â˜ðŸ¿â˜ðŸ¿,anies baswedan
"Secara penyampaian pak Anis Proporsional, mengenak, tensinya bisa diturunkan, bersipat sidik, amanah, tabliq, dan fathonah (cerdas) dari bidang apapun sukses pokok endingnya indinesia Manis Amin.",anies baswedan
Anis omonganya trlalu manis biasa lha isinya bohong smua,anies baswedan
"Tak diragukan lg Pak anis memang juara dlm soal bernarasi merangkai kata, tp walaupun bnyak narasi tp g ada yg berbobot seperti makan angin gk ada kenyang nya, kita rakyat indonesia sudah g btuh soal kata2 manis seperti laki2 merayu wanita tp kita butuh bukti2 nyata dan track reccord yg berbicara",anies baswedan
Anis manis banget anjg bahasanya. KPR 0% aman bang?,anies baswedan
"masih ajaa banyak orang yg kemakan omongan manis nya pak anies, beliau emg pinter berkata&quot; wkwk",anies baswedan
Pinter nyaaaaa pak anies bicara saaaaangat manis.klu bikin puisi saya yakin paling larisðŸ˜‚,anies baswedan
"Anis pasti lupa apa yg diomongin td mlm apa aja, banyak omong teori angan2 &amp; janji, mulutnya semanis madu, banyak yang terkecoh dg omongannya",anies baswedan
"ANIS BESAR BACOT, dua kali GAGAL js MENTRI DAN GUBERBUR GAGAL HANYA MULUTNYA YG MANIS tapi realitasnya GAGAL KOSOOOONG. BACOTMU NISSSSS",anies baswedan
"Pak anis pak anis manis sekali bicaramu ðŸ˜‚ðŸ˜‚ðŸ˜‚ jangan terbawa oleh ucapan pak anis , dosen emang gtu bisa menguasai panggung dan teori nya bener , tapi untuk prakteknya ??? bisa di liat di gorong-gorong dki jakarta  ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚",anies baswedan
anis kyk org bener lah pilgub wkt itu dia yg paling intoleran. addduuuhhhh mulut manis hati busuk.,anies baswedan
Bpak retorika dan teori dan ilustrasi bapak anis yg slalu manis<br>   Tapi syang terlu pintar pak Anies ini,anies baswedan
"Sangat indah syair2 yg diucapkan mas anisðŸ˜Šjadi keinget 23 janji kampanye mas anis saat nyagub di dki ,,hanya 5 yg terelasiasi,sisa janji manisnya cuman isepan jempol..sumber detiknewsðŸ‘dan masih banyak lagi proyek2 gagalnya, salah satu contohnya tugu bambu getah getih yg buang2 anggaran 550jt,tugu sepatu,oke oce,dp 0%,dll.jadilah rakyat yg cerdas dalam memilih pemimpin negara,,pergunakan kouta kalian untuk rajin membaca dan browsing2 diberbagai medsos.salam akal sehat guys  ðŸ™",anies baswedan
Anis mulutmu terlalu manis ðŸ˜‚ðŸ˜‚. <br>  prabowo kelihatan dr hati.  Beliau org kaya.. Gaji menhan aja tdk dia ambil.  Benar2  ongin mengabdi bagi negara,anies baswedan
kataÂ² mu manis sekali anies sehingga lupa bahwa kmu sudah banyak melanggar janji manies wkwk,anies baswedan
aniss kata&quot; nya maniss bangett coy,anies baswedan
Dr segi wajah Anies kelihatan sekali hanya manis di bibir terlalu menonjol jgn sampe ini jadi pemimpin Indonesia bisa rusak berhatiÂ² lah sama org ini,anies baswedan
wow manis kata2nya anis..gak ada buktinya.ðŸ˜‚ðŸ˜‚ðŸ˜‚,anies baswedan
"ngeri anies bicaranya.. tp tidak sesuai dengan tindakannya...ðŸ˜‚ðŸ˜‚<br>liat dr rekam jejak dl jadi gouvernour...wkwkwkwk<br>ucapnya manis pisan, hati hati kawan jangan kemakan omongan yg manis!!",anies baswedan
materi perangkaian kata pa anis sangat bagus sampe bingung itu kata kata manis atau apa,anies baswedan
Pak anis kata katanya manisðŸ˜‚ðŸ˜‚,anies baswedan
Bicara lebih manis daripada prakteknya bapak.....<br>Oh salah lebih gampang.....tapi prakteknya pasti diatas tahta bukan merakyat itulah fatwa pujangga yg pandai berkata2....apa kata2 hari ini pak Anies....janji manis semanis empedu??? Wakwakkk<br>Dari cara bicara dan sikap....3 kandidat justru pak Prabowo yg benar2 tulus dari hatinya saat bicara....bukan mencari kesalahan org lain.....,anies baswedan
"Pokoknya Prabowo yg menang, pak Anis luar biasa merangkai kata namun rakyat tdk butuh kata2 manis.",anies baswedan
"JAWABAN DAN WACANA ANIES SEMUA BERNAFSU DAN GK RASIONAL TP HEBAT  BER MAIN MANIS KATA KATA , YG LUCU DI MANIFESTASIKAN.",anies baswedan
Anis mulutny manis tindakanny pahit,anies baswedan
Anies manis dibibir seperti di Gobernor,anies baswedan
Anis cuma omong manis,anies baswedan
Anis cuma janji manis jgn percaya,anies baswedan
Dari awal di mulainya pemilu 2024 saya mendukung penuh pak.Anis baswedan tapi setelah di debat CAPRES ke 2 jawaban dan pertanyaan pak.Anis sangat tdk layak menjadi seorang pemingpin negara dan CAWAPRESnya yaitu Cak imin yg dimana Cak imin kurang memahami dunia politik Imin selalu blunder ..<br>Maap ðŸ™ðŸ™ untuk kali ini saya beralih dukungan ke PRABOWO_GIBRAN 02.,anies baswedan
"ANIES BASWEDAN SI PALING BERETIKA, SILAHKAN ANDA DUKUNG, JAMINAN MASUK SURGA KARENA BELIAU IMAM MAHDI!",anies baswedan
"gimana aniss gayanya soongong, udh susuin gedenya kurang ajar",anies baswedan
Grr banyakin pengalaman sj.... contoh pak ANIES... jd gubeenur 5 th sp tuntas dan banyak prestasi dan banyak mendpt apresiasi ... rakyat DKI jg puas dipimpin beliau ....,anies baswedan
Tetap Bapak Anies Baswedan berwawasan luas...,anies baswedan
Anise baswedan kalau beesilat lidah jago nya tp kalau bekerja nya nol.<br>Gimana negara mau mju kalau pemimpin nya tidak mau bekerja.,anies baswedan
