text,nama paslon
Mang mimin ngomong opo ngomong koyo wong gagapðŸ˜…ðŸ˜…,muhaimin iskandar
Cak imin ngaco kalo ngomong hahahah,muhaimin iskandar
"Ko muhaimin kalo ngomong kek mau ketawa yaa,. <br>Cengengesan gitu iya gak si",muhaimin iskandar
Gus imin ngomong jya ky hafalan aj g ada titik koma,muhaimin iskandar
"Cak imin kayaknya  tiap ngomong nyinyir melulu.... tdk ada program yg jelas, hanya normatif.. Pak Mahfud jawaban nya keren, pak gibran kok gitu thd org tua, kayak tdk ada tata krama nya",muhaimin iskandar
Cak Imin ngomong opo ga jelasðŸ˜¢ðŸ˜…,muhaimin iskandar
"Jujur kasian liat cak imin, makin kesini makin keliatan gagasan ngawur dan asal ngomong doangðŸ˜‚",muhaimin iskandar
Kalau Mahpud sama Muhaimin ngomong ngebosenin kalau mas Gibran yang ngomong pasti di tunggu 2,muhaimin iskandar
Closing statement mahfud itu yakin semua akan terlaksana? Wkwkw yg selalu tampil di channel televisi NMC dan RITC <br>YAKIN TUH GAK DI SETIR IBUNYA UPSSSSSðŸ˜‚ PAS NIH PAK DEBAT CAWAPRES KAN BERTEPATAN HARI IBU inget ya harus sungkem sama IBU trus kalo ketawa harus tutup mulut ðŸ˜‚<br>Kalo cak imin pokok asal ngomong ditanya kok balik nanya cak ðŸ˜‚ <br>Generasi muda mendukung PRABOWO GIBRAN â¤,muhaimin iskandar
"Perasaan gus imin ini ngomongnya kq belibet amat y,,jadi ke inget aziz gagap, uppps",muhaimin iskandar
"Cak Imin sama pak Anies sama saja botol ketemu tutup memang benar, gagasan terlalu berlebihan. Emang semua rencana kalo cuma ngomong itu mudah tapi buktinya ðŸ˜‚ 0 besar, sama aja ngomong sulap ngomong saja mudah sama kayak sulap mudah tapi itu tidak mungkin ðŸ˜‚",muhaimin iskandar
Males bgt denger imin ngomongðŸ˜­,muhaimin iskandar
"Cak imin ngomong halu ðŸ˜‚, bbm gratis wkekek",muhaimin iskandar
Gue g  paham cak imin ngomong apa slapat slepettt yg gue tangkep wkwkðŸ˜‚,muhaimin iskandar
Luar biasa juga Gibran ini.mantap Muhaimin cuman bisa ngomong slepet slepet.ðŸ˜…,muhaimin iskandar
Muhaimin baru bangun tidur.ngelantur ngomong nya,muhaimin iskandar
Cak imin ngomong apa sih,muhaimin iskandar
Cak imin ngomong apa sih slepetðŸ˜‚ dikira lagi ngising kali di slepetðŸ˜‚ðŸ˜‚ðŸ˜‚,muhaimin iskandar
Ngomong apasih imin,muhaimin iskandar
muhaimin ngomong aja susah sok sok an mau memimpin negaraðŸ˜‚,muhaimin iskandar
Cak imin .ngomong opo.cak,muhaimin iskandar
"Betul sekali... tesla itu menggunakan nikel sangat betul mas gibran sangat cerdas.  Menang satu putaran. Negara memiliki pemilik nikel terbesar adalah indonesia.  Maka jaga dengan baik. <a href=""http://www.youtube.com/results?search_query=%23prabowogibran"">#Prabowogibran</a> satu putaran. <br>Cak imin itu tak paham makqnya ngomongnya  ngorongidul gk jelasðŸ˜…ðŸ˜…ðŸ˜…ðŸ˜…",muhaimin iskandar
Cakimin hanya ketuwa partai apa yg tela di berbuat  saya yakin klu cakimin mendai wakil presiden saya yakin tidak akan memberikan rata memberikan tana kepada rakyat cmn klu ngumung sangat gampang saya yakin tidak akan seperti yg di bicara kan klu ngomong sangat gampang tetapi untuk membuktikan yg susa,muhaimin iskandar
"Helehhh, wawasan mu masih kurang Mimin Mimin, cuma ngomong ngawur sambil dongeng, dan cuma bisa menjelek jelekkan Paslon lain, anda lebih cocok jadi marketing motor min, cangkem mu akeh lamise",muhaimin iskandar
"BNN tolong lah tes urin cak imin,,nyeret bgt itu ngomong na....ðŸ¤¦ðŸ»â€â™€ï¸ðŸ¤¦ðŸ»â€â™€ï¸",muhaimin iskandar
Imin ngomong terbelit belit ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚tau ngarti tau gk imin iminðŸ˜…ðŸ˜…ðŸ˜…,muhaimin iskandar
Ngomong etik ke Gibran tapi visi misi cak Imin bagaimanna ðŸ¤£,muhaimin iskandar
Imin ini ngomong opo tho,muhaimin iskandar
"Imin imin Gibran tanya apa ,ente jawab nya etika ko ga nyambung pertanyaan Gibran dengan jawabannya, itu timses anda yg gembor2 terus ente tidak tahu artinya ðŸ¤¦ini nih cawapres yg kurang pinter ðŸ˜‚ pengetahuanya kalah sama bocah ingusan ðŸ¤­ðŸ¤£ awas loh sesudah debat ente min di marahin pak Surya Paloh ðŸ˜",muhaimin iskandar
"Imin modal ambisi, tapi ga ada isi. ðŸ˜…",muhaimin iskandar
Imin slepet menjelaskan sambil naca taks enak banget ðŸ˜‚dan menjelaskan nya mendet2 ngomong nya kaya ajis gagap ðŸ¤­ðŸ¤£,muhaimin iskandar
"imin gak tau menghargai, jasamu ki op",muhaimin iskandar
Imin ko ceramahnya bikin pusing tangannya kebanyakan usil,muhaimin iskandar
Imin muka2 lawak...orang selalu tertawa terbalik dengan kekuasanya contoh ukrainaðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚.mauu looo di pimpin sembari cengar cengirðŸ˜®ðŸ˜®wooow,muhaimin iskandar
"Imin dan Mahmud shag mat dgn Gibran, krn imin hanya ngecap nfak ada idea sdgkan Mahmud yg namanya menteri polhukam mengritik kerjanya sendiri, ngak bisa ngatasi masalah politik, hukum dan keamanan  didlm tugas hari2 ya, ngapain aja malah ngurusi masalah mk segala.",muhaimin iskandar
"Imin mimpi nyA terlalu tinggi, bicara itu mudah, mengerjakan nya itu sulitðŸ˜ŠðŸ˜Š",muhaimin iskandar
Imin ketinggian janji miiiinmin!,muhaimin iskandar
"imin juga sama nya ditanya visi misi dan proker malah ngomong kemana2 ga jelas astaga, slepat slepet... yang ditanya PROKER dan VISI MISI nya ga ada disebutin secara jelas",muhaimin iskandar
Imin muluk2 mulu ahh ih ih gawat ini anak janji manis tok,muhaimin iskandar
imin cuma pelengkap omongannya ga berarti dan banyak ngawurnya sama anis jg bicaranya selalu ngawur pas ini berdua cuma pelengkap lebih baik no 2 dan no 3 bisa di percaya rakyat memang bisa kerja,muhaimin iskandar
Imin ini programnya apa..cerita terus.,muhaimin iskandar
imin sama anies 11 12....pembual cenayang gede bacot doang ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚,muhaimin iskandar
imin kebanyakan ngomong slepet ....,muhaimin iskandar
Imin gatau sgie ðŸ˜‚ðŸ˜‚ðŸ˜‚,muhaimin iskandar
"Imin blepetan,,kebanyakan ngeritik orang",muhaimin iskandar
"Imin Imin,dah lama di politik,TPI g dajejak seperti yg anda katakan,",muhaimin iskandar
Imin visi misinya banyak janji bantuan lewat apbn ðŸ˜‚,muhaimin iskandar
"imin bisanya cuma setuju2 aja sama lawan debat cawapres yg ga visioner, grogi dan beribet ngomongnya.",muhaimin iskandar
Imin tanganya ga mau diem ðŸ˜‚,muhaimin iskandar
Imin gak mutu bgt visi misinyaðŸ˜¢ðŸ˜¢ðŸ˜…,muhaimin iskandar
"Imin mirip bgt sama anis, sama2 mulut manis &amp; janji palsuðŸ˜‚<br>Jelass mas GIBRAN paling TOP, gagasan &amp; cara bicara yg luar biasaðŸŽ‰ðŸŽ‰ðŸŽ‰ðŸ‘ðŸ»ðŸ‘ðŸ»ðŸ‘ðŸ»",muhaimin iskandar
Imin imin ngmong aja masih nyontek huhhh lu kira khotbah,muhaimin iskandar
"Imin asal mangap, persis kyk pengakuannya di podcast Deddy Corbuzer. Bahwa janji2nya cuma janji kampanye sekedar usaha saja.",muhaimin iskandar
Imin gak ada kualitasnya sama sekali,muhaimin iskandar
"Imin berak banyak janji janji, janji dana desa naik, janji ini itu janji gono gini contoh mulut busuk begini ðŸ˜‚ msh ada yg kemakan janji begini sih yaaaaaa yaaaaudahlah samanya ðŸ˜‚",muhaimin iskandar
Imin baru visi misi aja udah blunder. King of blunder ðŸ˜‚,muhaimin iskandar
Imin sampai pucat Wajah nya Ke Skak Gibran rakabuming rakaâ¤,muhaimin iskandar
Imin imin baru bicara sudah menyerang apa ini yang di bilang dgn adab emang dasar psangan urut 01 memang pandai bicara,muhaimin iskandar
Imin otak kosong.....,muhaimin iskandar
Imin hafalan nya fasih sekali,muhaimin iskandar
Imin klo bicara tanpa catatan kosong.bner kata jibran imin berisi karena contekan,muhaimin iskandar
Imin ngerti visi misi ga sih???ðŸ˜‚ðŸ˜‚ malah bahas food estate,muhaimin iskandar
"Imin.. Iminn... ðŸ˜‚ðŸ˜‚ðŸ˜‚ lahan mana maksud lo, lahanya pak prabowo? Semakin aku gak serek sama kalian hobi mu fitnah mulu.. Itu lahan telah dikembalikan ke negara kali minnnðŸ˜‚ðŸ˜‚ðŸ˜‚",muhaimin iskandar
"Imin ,mahmud kakean omong bukti o",muhaimin iskandar
imin cocok jadi pelawak ....karna standar otaknya cuma bisa untuk jadi pelawak ðŸ˜‚ðŸ˜‚ðŸ˜‚,muhaimin iskandar
Imin sllu Meolok olok RI skrg padahal apa apa skrg lbh gampang dizaman era era sblm di pegang pak jokowi! Infrastruktur apa apa jug mudah! Apalagi pas hbs diuji corona sedunia tp Indonesia nyatanya skrg Sdh mulai membaik lagi semuanya! G sampai yg di era dulu!!,muhaimin iskandar
Imin ujiannya g lulus jwb ny nyontek d teks,muhaimin iskandar
Imin omongannya ngga ada isinya alias kosong...,muhaimin iskandar
Imin bicara blepotan,muhaimin iskandar
iming iming bansos min? mending nyamar jadi pengungsi ROHINGYA bansos nya lebih besar wkwkwk. kelihatan banget modusnya ngasih iming2 ke rakyat biar dipilih. Bansos bukan solusi bro yang ada nanti bakal INFLASI kacau lu MIN visi misi lu dah ketinggalan jaman gak bisa ngerubah SDM yang ada buat orang jadi malas dan makin banyak yang jadi PENJUDI,muhaimin iskandar
Imin tak tiknya pinter ngibul nyerang mahfud yg padahal lawan twrberat nya gibran,muhaimin iskandar
Imin blibet gak langsung intinya ragu saya ðŸ˜‚ðŸ˜‚ðŸ˜‚,muhaimin iskandar
Imin banyak omong. Dr dulu gasuka org ini. Jijay ðŸ¤£,muhaimin iskandar
Imin blunder dengan pernyataan sendiriðŸ˜‚,muhaimin iskandar
Imin kalah secara intelektual,muhaimin iskandar
Imin : Mencla Mencle Baca Teks<br>Gibran : GG <br>Mahfud : Berdongeng,muhaimin iskandar
Imin pas menyampaikan visi misi kok seperti mencontek ya wkwkwk,muhaimin iskandar
imin gk ngerti pertanyaan gibran mangkanya jgn sombong dulu,muhaimin iskandar
Nmr 1 dan 3 emg pandai cakap... Tpi nyatanya 0 besar dri yg d bilangnya... Hanya pandai mengiming2kan... Hasilnya gak ada... Tpi pak prabowo tidak pandai berjanji palsu.. Dan tak pandai bercakap... Tpi lihat hasilnya bagus dan menjamin... Sabar pak prabowo... Pak prabowo presiden yg paling tepat â¤â¤â¤â¤â¤,muhaimin iskandar
"Jangankan etika berdebat, etika bernegara (konstitusi) aja di tabrak bos!!<br><br>Coba dilihat capresnya yang di iming2 kesatria, ikhlas, demi negara indonesia, dll.  Pertanyaannya, kesatria mana yang tutup mata akan hal yang jelas sudah divonis melanggar kode etik konstitusi?<br><br>Jelas jawabannya, tak peduli, karena targetnya bukan lagi untuk negara melainkan personal, yg penting jika tutup usia akan dibungkus bendera dan MEMBERSIHKAN NAMANYA.<br><br>Pendapat saya, malam ini CAK IMIN BERCAHAYA, dan malam ini semakin yakin untuk tidak MEN-DUA",muhaimin iskandar
"Kayaknya amin asal ngiming tanpa berpikirðŸ˜‚, terlalu banyak janji ya gini jadi menghayal yg enggak2ðŸ˜‚",muhaimin iskandar
BBM gratis Mau bangun 40 kota selevel jarkarta. Yg penting hindari paslon yg punya iming&quot; ini...keliatan kali nafsu ingin jadinya sampe&quot; iming&quot;an yg ga masuk akalpun diberikan.  02 03 silahkan.. jauhin 01,muhaimin iskandar
"Kelihatan sekali kalau cak iming ambisi untuk jd capres, merasa dirinya yg lbih pantas dr anies.. ming ming..ðŸ˜…ðŸ˜…<br>saya yakin omongan gus dur akan jd kenyataan pak prabowo gibran akan menang satu putaranðŸ¤²ðŸ¤²ðŸ¤²",muhaimin iskandar
cak iming di tanya nikel kok jd etika sama ijazahðŸ˜‚,muhaimin iskandar
Amit amit anak cucu dak mili Amin dl pelpres 24.cak iming wing ngadebrus.sakin jadi ketua PKB sebenarnya dak pantas sengkerkan dr pkb aja apalagi jadi wakilðŸ˜Š,muhaimin iskandar
"Cak Imin : terlalu iming-iming jadi keliatan masih mentah dan lebih suka merekap yg disampaikan paslon lain<br>Gibran : attitude anak muda to org tua ðŸ‘ðŸ‘, technical analytic jalan dan cukup realitis<br>Mahfud : birokrasi dan teknokrat matang akan jadi sempurna kalo rencana kerja lebih detail disampaikan...overall debat kali ini lebih baik",muhaimin iskandar
Pak Mahfud sama Imin itu debat opo jagongan kalo jagongan diwarung pak debat kok gitu atau cari aman pak,muhaimin iskandar
"Inti perubahan adalah menghentikan penderitaan rakyat, melalui :<br>1) memperbaiki atau memperluas program yg sdh bagus.<br>2) mengevaluasi program yg sdh ada<br>3) membuat program baru utk kepentingan rakyat.<br>4) menghentikan program lama yg rugikan rakyat.<br><br>VISI MISI AMIN(ANIES-MUHAIMIN) sudah sangat jelas akan melakukan perubahan besar besaran, berantas semua mafia mafia, dan akan mensejahterakan seluruh masyarakat dengan kesetaraan. ALL IN AMIN",muhaimin iskandar
Pak anies dan pak muhaimin ke duadua-nya adalah pemimpin yg cerdas berani bijak dalam mengambil keputusan yg adil .,muhaimin iskandar
"Adem rasanya tanya jawab gus imin dan pk mahpud dan penjelasannya, menunjukkan kedewasaan, kecerdasan dan kebijakan beda sekali dg gibran bgtu bernafsu ingin menjatuhkan lawan, mungkin bgtu lh darah muda",muhaimin iskandar
"Kecerdasan Gus Imin memang terbukti dari pengalamannya di bidang pemerintahan sekaligus santri yg insyaAllah amanah, beliau terlihat paling mumpuni dibanding 2 paslon lainnya",muhaimin iskandar
"Cawapres yang sangat mumpuni baik secara kecerdasan maupun wawasan, ialah pak muhaimin iskandar.",muhaimin iskandar
"Karena kecerdasan gibran yg luar biasa,imin malu dengan diri nya hingga nyindirr soalll ijazahhh.pak imin tu otak nya masi cetekkk gk pantas jdi wkilll yg ada koruppp trusss.wkwkwk",muhaimin iskandar
"suka dengan gaya kritiknya Cak Imin 01,... senang dengan komitmen Pk Mahfud 03,... bangga dengan kecerdasan Mas Gibran calon wakil Presiden Mendampingi Pk Prabowo Presiden RI 2024-2029.",muhaimin iskandar
"Paslon AMIN lebih pantas dan cocok untuk memimpin negeri ini, Pak Anies dan Cak Imin adalah pasangan yang sangat ideal dengan kecerdasan dan kejujuran yang dimiliki.",muhaimin iskandar
"Pak Amin memukau dengan kepintarannya dalam memaparkan penjelasan. Setiap kata yang diutarakan disampaikan dengan jelas, lugas, dan mendalam. Keahlian komunikasinya tidak hanya mencerminkan kecerdasan intelektual, tetapi juga kemampuan untuk menyampaikan ide-ide kompleks dengan cara yang mudah dipahami.",muhaimin iskandar
"Pada umumnya, Anies Baswedan dan Cak Imin dikenal sebagai individu yang memiliki kecerdasan dan keahlian dalam memaparkan penjelasan terkait berbagai isu. Keduanya memiliki latar belakang dan pengalaman yang berbeda, namun mampu mengungkapkan ide dan gagasan mereka dengan jelas. Meskipun mungkin terdapat perbedaan pandangan, namun kemampuan mereka dalam menyampaikan argumentasi dan penjelasan yang konkret patut diapresiasi. Kepintaran mereka dalam berbicara menjadi salah satu faktor yang membuat mereka mampu menjadi pemimpin dan tokoh publik yang diperhitungkan dalam dunia politik dan masyarakat.",muhaimin iskandar
"Kecerdasan pak amin tidak perlu di ragukan lagi, gagasanÂ²an beliau sungguh luar biasa untuk kemajuan indonesia di mata internasional, berdoa saja moga beliau menang.",muhaimin iskandar
WkwkwkwðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ cak imin tepat waktu setiap menjawab tapi jawabannya ngawur semua alias gak nyambung sama temanyaðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚,muhaimin iskandar
Jawaban cak imin ngawur semua,muhaimin iskandar
CAK IMIN SAMA ANIS NGAWUR CUMA MODAL NGOMONG GAK PAKE DATA PENGELUARAN YANG HARUS DI KELUARKAN HAHAHA,muhaimin iskandar
Debat kali ini yang ngawur muhaimin... Bahasanya kocar kacir... Sy terus terang dari dulu sangat ragu sama gibran... Trnyata pemikirannya jauh di atas cawapres yg lain... Bahkan masih di atasnya capresnya.... Ini seperti Pak SBY dan JK...,muhaimin iskandar
"Ngakak saya denger slepet mulu, terlihat cenderung kurang luas pengetahuannya gus gus imin ini dan ngawur selama debat ini termasuk closing statment",muhaimin iskandar
Cek imin ko ngawur bgt opening statement ini,muhaimin iskandar
Tp setelah melihat debat ini yg paling menguasai ialah prof Mahfud MD sedangkan Gibran sama cak Imin ngawur,muhaimin iskandar
Pak Amin sangat pintar memaparkan penjelasan secara jelas dan mudah di pahami,muhaimin iskandar
Pak Imin memukau dengan kepintarannya dalam memaparkan penjelasan,muhaimin iskandar
Anak muda pilih nya ya pak imin <br>Sudah jelas terlihat yang mana yg memiliki wawasan cerdas cermat dan tanggung jawab,muhaimin iskandar
Penilaian individu<br>Gibran 100 % krn mampu memberikan argumenetasi yang tepat<br><br>Prof Mahfud MD 85 % karena masih belum.bisa menjelaskan secara detail<br><br>Muhaimin 45 % karena setiap jawaban terlalu normatif alias tak ada ide baru. Pertanyaan yg diajukan juga masih belum berkualitas.,muhaimin iskandar
"Apansih slepat slepet gajelas .. gw netral tp kata &quot;slepet&quot; bikin risih di dengerin , sokk iyee lu iminnn",muhaimin iskandar
Cak imin menata kata sampai bertele2 &amp; tidak jelas maksud nya,muhaimin iskandar
"Mahfud dan cak imin visinya masih ngawang2 nggak jelas, visi Gibran paling jelas. Maaf, saya pindah ke gibran aja",muhaimin iskandar
Muhaimin lemah atau memang masih buta tentang hitungan APBN ato sengaja cuma naik menjadi 6 â„….jika kata pak mahfud hrsnya bisa 7â„… apa  yg 1â„… buat bancak an  ðŸ˜…ðŸ˜‚ðŸ¤£<br>Haha...Muhaimin ternyata mengakui keberhasilan Gibran.. Jelas kalah set kalah langkah mengelola pemerintahan. Tanya trik yaaa  itu rahasia dapur pemda lah cak cak imin. Gimana sih! <br>Begini kok mau di pilih.<br>Ajuuur reek<br>Pilih sing waras ae rek!!,muhaimin iskandar
"Harusnya gibran jelasin apa maksud pertanyaaannya, baik SGIE atau CarbonÂ² td... Jujur, klo kyk gitu ga kliatan bijaksana, lebih kyk menjebak nggak sih?..<br>Cak imin sama pak mahfud juga harusnya perbanyak literasi..<br><br>Overall good debatnya",muhaimin iskandar
Gus imin. BRRT TRIK NYA ADALAH KOLABORASI. dari awal uda dijelasin ma gibran ðŸ˜‚. <br><br>Ya nama nya gus imin uda pak Lek pak lek ya .. susah memahami omongan anak muda. Mungkin harus di perjelas DENGAN BERKATA &quot;  TRIK NYA ADALAH KOLABORASI &quot;,muhaimin iskandar
"Gibran jelas bgt pemaparan prokernya terobosan IKN digitalisasi hilirisasi melalui ahli2 dibidangnya masing2.<br>pak mafud jadi prokernya apa pak kok cmn jabarin permasalahan klasik yg tanpa dijelaskan hal itu kita smua jg udh tau so proker utk solusinya apa UU khusus for koruptor kah tlg diperjelas pak?<br>cak imin prokernya jelas jika terpilih yaitu slepet sana sini, maka berhentilah bercita2 jadi investor, pengusaha dan orang kaya krn pengusaha2 dan orang2 kaya hrs siap kena slepet dipajakin besar2an <a href=""UCkszU2WH9gy1mb0dV-11UJg/hcIfY57lBJXp6AKBx4CoCA""></a>",muhaimin iskandar
Gibran visi misinya jelas dan bicara tanpa teks<br><br>Mahfud visi misinya menyampaikan masalah tanpa teks<br><br>Muhaimin visi misinya kurang jelas bercerita penuh analogi namun sambil baca teks<br><br>Dalam hal ini Gibran terdepanâ¤,muhaimin iskandar
Antara Cak Imin dan Mahpud ini terlihat  kepribadiannya penuh  wibawa dalam beretorika bertanya maupun menjawab bisa dipahami.<br><br> Smtr  Gibran  ada bbrp pertanyaan yg tdk dijawab dan cara memberi pertanyaan tdk jelas kemana arah kognitifnya. Dan kepribadiannya Gibran  masih blum mencerminkan cawapres . Dia masih terlihat gelisah  sampai  jalan 2 keluar dari podium  yg sementara yg lain bgt tenang  Kami salut pada cak amin dan Mahpud. Selamat untuk  no 1.,muhaimin iskandar
"Muhaimin bolak balik bilang slepet, tapi gak jelas slepetnya pakai program atau kebijakan apa ðŸ¤ª",muhaimin iskandar
jawaban muhaimin terhadap investasi tidak memberikan solusi yg jelas,muhaimin iskandar
"Gus Imin, masih teoritis, gak jelas",muhaimin iskandar
"Visi Misi :<br>1. Gibran Penjelasannya tepat dan tujuannya jelas. <br>2. Mahfud and Imin, penjelasannya tdk jelas alias ngambang. <br>Awal yang baik Buat Gibran.. <br>Salam dari Timur.",muhaimin iskandar
Sebagai masyarakat awam nonton debat ini. SayaKecewa karena visi misi mahfud md gus muhaimin ndak jelas. Arahnya kemana ngambang. Isinya hanya menyudutkan apa yg dilakukakan pak jokowi untuk bangsa ini. Terus apa yang digambarkan tentang indonesia ini tidak jelas bagi kami rakyat awam. Yang pasti saja anda itu mengurusi sebuah negara bukan satu kelurahan. Dr awal smpe akhir yng saya lihat dan saya dengar yang nyambung kok mas gibran. Tujuanmu dipilih karena apa negara itu mau kamu buat apa. Apa mau dijajah bangsa luar lagi. Ayo dong anda sebagai pemimpin tunjukkan gagasanmu jngan ngalor ngidul. Saling menjatuhkan. Kami butuh gagasanmu. Anda calon pemimpin dan anda disaksikan rakyat indonesia.,muhaimin iskandar
